Day,Susceptible,Infected,Recovered,Reported_Cases,Beta_Effective,Season_Index
565,1347749321,351897,31466703,25166,0.194776771,0.9
566,1347714143,348062,31505276,35178,0.194553389,0.9
567,1347677742,348924,31540285,36401,0.193210058,0.9
568,1347641171,357336,31567904,36571,0.192857799,0.9
569,1347606714,353543,31605779,34457,0.191904459,0.9
570,1347575766,343386,31646481,30948,0.190028158,0.9
571,1347550694,328366,31686184,25072,0.185840024,0.9
572,1347525227,315249,31724414,25467,0.18838561,0.9
573,1347487634,316551,31760057,37593,0.194032339,0.9
574,1347441470,329701,31792464,46164,0.206108259,0.9
575,1347396812,349237,31817090,44658,0.215079222,0.9
576,1347350053,360684,31851893,46759,0.226046634,0.9
577,1347304970,369309,31887891,45083,0.237012656,0.9
578,1347262061,375656,31924073,42909,0.249651492,0.9
579,1347231120,372144,31958176,30941,0.251063595,0.9
580,1347189155,383349,31988476,41965,0.249173842,0.9
581,1347142063,405467,32012941,47092,0.242454558,0.9
582,1347096711,425482,32037912,45352,0.235556419,0.9
583,1347054093,430686,32074996,42618,0.225694086,0.9
584,1347011327,427440,32120700,42766,0.218180943,0.9
585,1346972379,421891,32164978,38948,0.210850653,0.9
586,1346941157,406414,32211387,31222,0.208408595,0.9
587,1346903282,399297,32256010,37875,0.202686352,0.9
588,1346860019,399822,32298410,43263,0.198450568,0.9
589,1346825046,403960,32328985,34973,0.19132036,0.9
590,1346791670,395393,32370620,33376,0.186190816,0.9
591,1346763079,376862,32417404,28591,0.178295766,0.9
592,1346735825,358764,32462537,27254,0.172796407,0.9
593,1346710421,341501,32504865,25404,0.171864773,0.9
594,1346683245,325996,32547262,27176,0.167883275,0.9
595,1346652675,317525,32585872,30570,0.163621509,0.9
596,1346618272,320646,32616834,34403,0.16973771,0.9
597,1346582610,318460,32654401,35662,0.178114592,0.9
598,1346551837,305999,32697326,30773,0.185238985,0.9
599,1346521581,301206,32732080,30256,0.193018759,0.9
600,1346495466,294032,32765117,26115,0.197675427,0.9
601,1346468502,292306,32793424,26964,0.201229986,0.9
602,1346436579,297124,32820247,31923,0.205754698,0.9
603,1346405197,303104,32845331,31382,0.204960881,0.9
604,1346375581,305535,32872226,29616,0.201009667,0.9
605,1346347255,303340,32902487,28326,0.199865709,0.9
606,1346321214,294997,32936595,26041,0.196054614,0.9
607,1346302419,278203,32972005,18795,0.189325813,0.942857143
608,1346283549,266305,33002395,18870,0.182337164,0.985714286
609,1346260020,259549,33032369,23529,0.176233081,1.028571429
610,1346233293,260202,33058166,26727,0.175462651,1.071428571
611,1346208939,257648,33084840,24354,0.174261826,1.114285714
612,1346186097,248583,33116503,22842,0.173077924,1.157142857
613,1346165298,238096,33147609,20799,0.172443216,1.2
614,1346146952,226742,33177046,18346,0.176352732,1.2
615,1346128119,217349,33204994,18833,0.180816175,1.2
616,1346105688,213732,33230724,22431,0.185168518,1.2
617,1346084431,216200,33249242,21257,0.184141393,1.2
618,1346064691,217056,33267878,19740,0.183473019,1.2
619,1346046525,211723,33291163,18166,0.182022008,1.2
620,1346028393,203115,33317710,18132,0.182601592,1.2
621,1346014080,193156,33341801,14313,0.180674832,1.2
622,1345998257,186189,33364365,15823,0.180343027,1.2
623,1345979270,184449,33384846,18987,0.179986908,1.2
624,1345962408,182857,33402921,16862,0.177634995,1.2
625,1345946427,180087,33421506,15981,0.176492557,1.2
626,1345932281,171872,33443723,14146,0.174988466,1.214285714
627,1345918685,164238,33464787,13596,0.173076245,1.228571429
628,1345905627,157573,33484346,13058,0.175725925,1.242857143
629,1345891004,154059,33502286,14623,0.17891611,1.257142857
630,1345872550,154467,33520172,18454,0.184135511,1.271428571
631,1345856764,156088,33534106,15786,0.187295254,1.285714286
632,1345840438,156091,33549763,16326,0.192335834,1.3
633,1345824532,152593,33568606,15906,0.19917875,1.3
634,1345810226,149760,33585302,14306,0.203471814,1.3
635,1345797798,146015,33601119,12428,0.204493102,1.3
636,1345784347,144932,33615068,13451,0.204295835,1.3
637,1345768191,146919,33628504,16156,0.201863288,1.285714286
638,1345753843,147635,33641331,14348,0.200536254,1.271428571
639,1345739530,147442,33655288,14313,0.19829835,1.257142857
640,1345726700,141933,33673181,12830,0.19393951,1.242857143
641,1345714186,138853,33688524,12514,0.192305358,1.228571429
642,1345703763,132863,33704494,10423,0.189986256,1.214285714
643,1345691860,129134,33719815,11903,0.189246233,1.2
644,1345678975,127985,33733388,12885,0.185822477,1.2
645,1345666246,128870,33745011,12729,0.186351107,1.2
646,1345655317,126505,33757913,10929,0.182795253,1.2
647,1345644464,121122,33773623,10853,0.182437566,1.2
648,1345633013,118210,33787720,11451,0.184306396,1.2
649,1345622887,114134,33801590,10126,0.187412504,1.2
650,1345611421,112621,33814109,11466,0.190599824,1.2
651,1345598330,113319,33826162,13091,0.195424425,1.2
652,1345585814,115132,33836364,12516,0.198647122,1.2
653,1345573964,114916,33847875,11850,0.203957849,1.2
654,1345562693,113543,33860234,11271,0.20756042,1.2
655,1345552464,111184,33872697,10229,0.2062576,1.2
656,1345543599,109255,33883294,8865,0.204521905,1.2
657,1345533402,108758,33893687,10197,0.202434697,1.2
658,1345521483,109096,33904798,11919,0.20048874,1.2
659,1345510377,110118,33914423,11106,0.197956119,1.2
660,1345500075,109242,33925334,10302,0.195211706,1.2
661,1345489587,106611,33938140,10488,0.194605722,1.2
662,1345481099,102459,33950531,8488,0.191538219,1.2
663,1345473520,98149,33962184,7579,0.189851041,1.2
664,1345464237,96025,33973154,9283,0.190218356,1.2
665,1345455118,94989,33982913,9119,0.185933567,1.2
666,1345444569,96644,33991319,10549,0.188647134,1.2
667,1345436251,94567,34001249,8318,0.186454764,1.2
668,1345427477,91114,34012855,8774,0.185510632,1.192857143
669,1345419168,88330,34023712,8309,0.18890439,1.185714286
670,1345412178,85064,34033778,6990,0.190418742,1.178571429
671,1345403224,83700,34043829,8954,0.193550241,1.171428571
672,1345393459,84896,34051921,9765,0.199911467,1.164285714
673,1345384243,86630,34059012,9216,0.199180706,1.157142857
674,1345375640,86000,34067830,8603,0.203061714,1.15
675,1345366745,83601,34076328,8895,0.206183946,1.15
676,1345358439,81383,34086641,8306,0.208576431,1.15
677,1345351617,79857,34094769,6822,0.209952215,1.15
678,1345343178,79594,34103276,8439,0.210075075,1.15
679,1345333759,81022,34111108,9419,0.210566446,1.15
680,1345325256,82302,34117707,8503,0.209509984,1.15
681,1345317264,81362,34126246,7992,0.208866014,1.15
